	UF	Renda(Total)	Renda(Beneficios)	Total(%)	Beneficio(>Sal)	Beneficio(>Sal)(%)	Beneficio(<=Sal)	Beneficio(<=Sal)(%)
0	ac	100986328.13464509	14103409.92057489	0.13965662660564124	10420017.37358348	0.10318245614089928	3683392.54699141	0.03647417046474194
1	al	395862536.283414	80887678.8139427	0.20433274533468845	51952122.861395	0.13123778609906236	28935555.9525478	0.07309495923562634
2	am	490178652.012436	57919058.5888904	0.11815908006418235	40898752.7484917	0.0834364217629251	17020305.8403986	0.034722658301257044
3	ap	100966903.528148	9380404.34928173	0.09290573466647534	7233964.48275341	0.07164688853448589	2146439.86652832	0.02125884613198944
4	ba	2101732469.88165	374405131.438487	0.178141193897799	222104288.688305	0.10567676517878218	152300842.750183	0.07246442871901729
5	ce	1162701349.02567	242250699.866138	0.20835161158894433	146935630.448931	0.1263743527708653	95315069.4172065	0.0819772588180786
6	df	1234788271.14197	200314995.879161	0.1622261893481573	192308002.480153	0.15574168217705914	8006993.39900878	0.006484507171098789
7	es	897354313.076542	147080995.608694	0.16390515258619853	117393586.943548	0.13082188967373318	29687408.6651459	0.03308326291246526
8	go	1437530104.16763	153566110.801247	0.10682636165742496	107556681.63857	0.07482047250819022	46009429.1626769	0.03200588914923465
9	ma	625434921.025991	106101430.377513	0.1696442376505929	46692571.8375994	0.07465616368366967	59408858.5399141	0.094988073966924
10	mg	4954986391.62269	851458414.441731	0.17183869886732223	652451626.924822	0.13167576565455572	199006787.516911	0.040162933212766906
11	ms	599878584.100752	65113508.8313598	0.10854447976163079	47942489.7308108	0.0799203222143344	17171019.100549	0.028624157547296372
12	mt	725924511.463408	52214027.9753041	0.07192762766757198	34098337.6593985	0.04697229136216778	18115690.3159055	0.02495533630540407
13	pa	1049093449.75198	134998592.770927	0.1286811892714062	89166516.1260607	0.08499387366029297	45832076.6448657	0.04368731561111265
14	pb	518149745.552543	123470545.343224	0.2382912399417621	71340728.1820393	0.13768361133896379	52129817.1611855	0.10060762860279988
15	pe	1456805950.45194	311589754.597456	0.2138855586777309	213623896.549854	0.14663853925334544	97965858.0475994	0.06724701942438373
16	pi	367391062.747243	77431001.8224687	0.21075907846930814	40314953.7027956	0.10973308224030319	37116048.1196729	0.10102599622900443
17	pr	3071598988.54547	385630464.82454	0.1255471388884498	293005095.458395	0.09539171504843641	92625369.3661453	0.03015542384001346
18	rj	5949326829.95943	1317846483.35081	0.2215118652944802	1210607033.8371	0.20348638903829655	107239449.513717	0.01802547625618482
19	rn1	490185845.331449	112564369.166878	0.22963610687445565	74614107.3921549	0.15221595666782886	37950261.7747226	0.07742015020662575
20	rn2	518149745.552544	123470545.343224	0.23829123994176163	71340728.1820393	0.1376836113389635	52129817.1611856	0.10060762860279987
21	ro	323170717.344165	21867711.4694764	0.0676661290638783	11788075.2400311	0.03647630991107784	10079636.2294453	0.03118981915280045
22	rr	77032728.9590046	5085874.45320267	0.06602225472122739	3520834.55049022	0.04570569676122916	1565039.90271244	0.020316557959998087
23	rs	3649848892.46428	683969019.472046	0.18739653054793962	575739227.725199	0.15774330518556764	108229791.746846	0.029653225362371687
24	sc	1874444331.94485	268870520.62127	0.14344012038079598	221050376.435797	0.1179284829475004	47820144.1854715	0.0255116374332948
25	se	291724342.218964	59010192.253603	0.20228065921667523	40574728.6499214	0.13908585187404968	18435463.6036815	0.06319480734262523
26	sp	16353552423.5527	2119734681.46343	0.12961921829354625	1878670996.44925	0.11487846480031776	241063685.014174	0.014740753493228143
27	to	201352495.227657	17270586.009988	0.0857728929083357	6783759.78608354	0.03369096458632686	10486826.2239044	0.052081928322008544
